count,number_total
67,2
69,1
74,1
75,1
79,1
80,1
81,1
86,1
90,4
92,2
96,1
101,2
102,1
104,1
105,2
106,1
108,1
110,1
112,1
115,1
117,1
118,1
119,2
120,2
121,2
122,1
123,1
124,3
126,2
127,1
128,3
129,1
130,1
131,2
132,1
133,1
135,3
136,2
137,1
138,3
139,1
141,1
142,4
143,1
145,1
146,3
149,2
151,1
153,2
154,2
155,1
156,3
158,2
159,1
160,1
161,1
163,1
167,1
170,2
171,1
173,1
174,1
180,1
181,1
186,1
200,1
214,1
