draw_date,number,moving_average
2026-07-14,00,0.13333333333333333
2026-07-14,01,0.1
2026-07-14,02,0.03333333333333333
2026-07-14,03,0.06666666666666667
2026-07-14,04,0.0
2026-07-14,05,0.13333333333333333
2026-07-14,06,0.06666666666666667
2026-07-14,07,0.03333333333333333
2026-07-14,08,0.03333333333333333
2026-07-14,09,0.03333333333333333
2026-07-14,10,0.06666666666666667
2026-07-14,11,0.03333333333333333
2026-07-14,12,0.03333333333333333
2026-07-14,13,0.16666666666666666
2026-07-14,14,0.03333333333333333
2026-07-14,16,0.03333333333333333
2026-07-14,17,0.1
2026-07-14,18,0.03333333333333333
2026-07-14,19,0.16666666666666666
2026-07-14,20,0.13333333333333333
2026-07-14,22,0.03333333333333333
2026-07-14,23,0.06666666666666667
2026-07-14,24,0.06666666666666667
2026-07-14,25,0.03333333333333333
2026-07-14,26,0.1
2026-07-14,27,0.06666666666666667
2026-07-14,28,0.0
2026-07-14,29,0.0
2026-07-14,30,0.03333333333333333
2026-07-14,31,0.13333333333333333
2026-07-14,32,0.06666666666666667
2026-07-14,33,0.06666666666666667
2026-07-14,34,0.1
2026-07-14,35,0.0
2026-07-14,36,0.06666666666666667
2026-07-14,37,0.1
2026-07-14,38,0.0
2026-07-14,39,0.03333333333333333
2026-07-14,40,0.13333333333333333
2026-07-14,41,0.06666666666666667
2026-07-14,42,0.03333333333333333
2026-07-14,43,0.03333333333333333
2026-07-14,44,0.0
2026-07-14,45,0.03333333333333333
2026-07-14,46,0.06666666666666667
2026-07-14,47,0.03333333333333333
2026-07-14,48,0.03333333333333333
2026-07-14,49,0.1
2026-07-14,50,0.13333333333333333
2026-07-14,52,0.03333333333333333
2026-07-14,53,0.06666666666666667
2026-07-14,54,0.03333333333333333
2026-07-14,55,0.03333333333333333
2026-07-14,56,0.06666666666666667
2026-07-14,57,0.06666666666666667
2026-07-14,58,0.06666666666666667
2026-07-14,59,0.03333333333333333
2026-07-14,60,0.1
2026-07-14,61,0.1
2026-07-14,62,0.1
2026-07-14,63,0.06666666666666667
2026-07-14,64,0.16666666666666666
2026-07-14,65,0.06666666666666667
2026-07-14,66,0.06666666666666667
2026-07-14,67,0.1
2026-07-14,68,0.1
2026-07-14,69,0.06666666666666667
2026-07-14,70,0.0
2026-07-14,71,0.06666666666666667
2026-07-14,72,0.03333333333333333
2026-07-14,73,0.13333333333333333
2026-07-14,74,0.06666666666666667
2026-07-14,75,0.13333333333333333
2026-07-14,76,0.03333333333333333
2026-07-14,77,0.03333333333333333
2026-07-14,78,0.03333333333333333
2026-07-14,79,0.06666666666666667
2026-07-14,80,0.1
2026-07-14,81,0.06666666666666667
2026-07-14,82,0.06666666666666667
2026-07-14,83,0.06666666666666667
2026-07-14,84,0.03333333333333333
2026-07-14,85,0.06666666666666667
2026-07-14,86,0.03333333333333333
2026-07-14,87,0.06666666666666667
2026-07-14,88,0.03333333333333333
2026-07-14,89,0.13333333333333333
2026-07-14,90,0.1
2026-07-14,91,0.06666666666666667
2026-07-14,92,0.1
2026-07-14,94,0.1
2026-07-14,95,0.03333333333333333
2026-07-14,96,0.03333333333333333
2026-07-14,97,0.06666666666666667
2026-07-14,98,0.03333333333333333
2026-07-14,99,0.1
2026-07-15,00,0.23333333333333334
2026-07-15,01,0.2
2026-07-15,02,0.06666666666666667
2026-07-15,03,0.13333333333333333
2026-07-15,04,0.0
2026-07-15,05,0.3
2026-07-15,06,0.16666666666666666
2026-07-15,07,0.03333333333333333
2026-07-15,08,0.1
2026-07-15,09,0.06666666666666667
2026-07-15,10,0.13333333333333333
2026-07-15,11,0.1
2026-07-15,12,0.06666666666666667
2026-07-15,13,0.3333333333333333
2026-07-15,14,0.06666666666666667
2026-07-15,16,0.06666666666666667
2026-07-15,17,0.2
2026-07-15,18,0.1
2026-07-15,19,0.36666666666666664
2026-07-15,20,0.2
2026-07-15,22,0.06666666666666667
2026-07-15,23,0.13333333333333333
2026-07-15,24,0.13333333333333333
2026-07-15,25,0.06666666666666667
2026-07-15,26,0.16666666666666666
2026-07-15,27,0.1
2026-07-15,28,0.0
2026-07-15,29,0.0
2026-07-15,30,0.06666666666666667
2026-07-15,31,0.26666666666666666
2026-07-15,32,0.13333333333333333
2026-07-15,33,0.16666666666666666
2026-07-15,34,0.2
2026-07-15,35,0.03333333333333333
2026-07-15,36,0.13333333333333333
2026-07-15,37,0.16666666666666666
2026-07-15,38,0.03333333333333333
2026-07-15,39,0.06666666666666667
2026-07-15,40,0.26666666666666666
2026-07-15,41,0.06666666666666667
2026-07-15,42,0.06666666666666667
2026-07-15,43,0.06666666666666667
2026-07-15,44,0.03333333333333333
2026-07-15,45,0.06666666666666667
2026-07-15,46,0.13333333333333333
2026-07-15,47,0.1
2026-07-15,48,0.06666666666666667
2026-07-15,49,0.2
2026-07-15,50,0.26666666666666666
2026-07-15,52,0.06666666666666667
2026-07-15,53,0.16666666666666666
2026-07-15,54,0.06666666666666667
2026-07-15,55,0.06666666666666667
2026-07-15,56,0.13333333333333333
2026-07-15,57,0.16666666666666666
2026-07-15,58,0.13333333333333333
2026-07-15,59,0.06666666666666667
2026-07-15,60,0.2
2026-07-15,61,0.2
2026-07-15,62,0.2
2026-07-15,63,0.1
